'2017-01-01',SCHOOLNAME,MEDIUM,ATLAG
2017-01-01,Aprily Lajos Altalanos Iskola,Rural,6.325
2017-01-01,Arany Janos Altalanos Iskola,Rural,5.964
2017-01-01,Arany Janos Altalanos Iskola ,Rural,5.713
2017-01-01,Augusztinovics Pal Altalanos Iskola,Rural,5.235
2017-01-01,Baczkamadarasi Kis Gergely Reformatus Kollegium,Urban,7.237
2017-01-01,Balanbanyai 1-Es Szamu Altalanos Iskola,Urban,6.293
2017-01-01,Balas Jeno Altalanos Iskola,Rural,4.482
2017-01-01,Balint Vilmos Altalanos Iskola,Rural,6.703
2017-01-01,Bem Jozsef Altalanos Iskola,Rural,4.914
2017-01-01,Benedek Elek Altalanos Iskola,Rural,5.288
2017-01-01,Benedek Elek Pedagogiai Liceum,Urban,7.51
2017-01-01,Berde Mozes Unitarius Gimnazium,Urban,5.864
2017-01-01,Bethlen Gabor Altalanos Iskola,Rural,5.547
2017-01-01,Bethlen Gabor Altalanos Iskola,Urban,6.127
2017-01-01,Bogozi Altalanos Iskola,Rural,3.935
2017-01-01,Colegiul National "Octavian Goga" Miercurea Ciuc,Urban,7.904
2017-01-01,Cserei Mihaly Altalanos Iskola,Rural,4.873
2017-01-01,Csikmenasagi Altalanos Iskola,Rural,5.969
2017-01-01,Csikszentmiklosi Altalanos Iskola,Rural,5.794
2017-01-01,Csinodi Altalanos Iskola,Rural,2.855
2017-01-01,David Ferenc Altalanos Iskola,Rural,4.832
2017-01-01,Domokos Pal Peter Altalanos Iskola,Rural,6.085
2017-01-01,Dr. Lukacs Mihaly Altalanos Iskola,Rural,4.994
2017-01-01,Dr. P. Benedek Fidel Altalanos Iskola,Rural,6.525
2017-01-01,Dr. P. Boros Fortunat Elmeleti Kozepiskola,Rural,6.936
2017-01-01,Dr. Pallo Imre Muveszeti Liceum,Urban,6.274
2017-01-01,Dumitru Gafton Altalanos Iskola,Rural,5.432
2017-01-01,Elekes Vencel Altalanos Iskola,Rural,4.231
2017-01-01,Endes Jozsef Altalanos Iskola,Rural,5.115
2017-01-01,Fenyokuti Altalanos Iskola,Rural,6.855
2017-01-01,Fogarasy Mihaly Altalanos Iskola,Urban,6.147
