'2017-01-01',SCHOOLNAME,MEDIUM,ATLAG
2017-01-01,Frater Gyorgy Altalanos Iskola,Rural,5.697
2017-01-01,Fulop Aron Altalanos Iskola,Rural,5.225
2017-01-01,Gal Sandor Altalanos Iskola,Rural,5.396
2017-01-01,Galfi Sandor Altalanos Iskola,Rural,6.029
2017-01-01,Gyergyotolgyesi Altalanos Iskola,Rural,5.785
2017-01-01,Hidegsegi Altalanos Iskola,Rural,4.55
2017-01-01,Imets Fulop Jako Altalanos Iskola,Rural,7.684
2017-01-01,Imets Fulop Jako Altalanos Iskola,Rural,5.859
2017-01-01,Janos Zsigmond Altalanos Iskola,Rural,4.627
2017-01-01,Jokai Mor Altalanos Iskola,Urban,4.536
2017-01-01,Jokai Mor Altalanos Iskola,Rural,5.684
2017-01-01,Jozsef Attila Altalanos Iskola,Urban,6.702
2017-01-01,Kajoni Janos Altalanos Iskola,Rural,6.066
2017-01-01,Kelemen Imre Altalanos Iskola,Rural,4.046
2017-01-01,Kemeny Janos Elmeleti Liceum,Urban,6.551
2017-01-01,Kiss Ferenc Altalanos Iskola,Rural,6.712
2017-01-01,Kollo Miklos Altalanos Iskola,Rural,5.923
2017-01-01,Korispataki Altalanos Iskola,Rural,4.85
2017-01-01,Korondi Szakkozepiskola,Rural,5.537
2017-01-01,Korosi Csoma Sandor Altalanos Iskola,Rural,4.504
2017-01-01,Kos Karoly Altalanos Iskola Gyergyoszentmiklos,Urban,5.611
2017-01-01,Kriza Janos Altalanos Iskola,Rural,5.947
2017-01-01,Laszlo Gyula Altalanos Iskola,Rural,5.191
2017-01-01,Liceul "Marin Preda" Odorheiu Secuiesc,Urban,6.218
2017-01-01,Liceul "Miron Cristea" Subcetate,Rural,5.795
2017-01-01,Liceul Teoretic "O.C.Taslauanu" Toplita,Urban,7.812
2017-01-01,Liceul Teoretic "Sfantu Nicolae" Gheorgheni,Urban,6.755
2017-01-01,Majlath Gusztav Karoly Altalanos Iskola,Rural,5.464
2017-01-01,Makkai Andras Altalanos Iskola,Rural,4.122
2017-01-01,Marosi Gergely Altalanos Iskola,Rural,4.617
2017-01-01,Marton Aron Altalanos Iskola,Rural,5.795
2017-01-01,Marton Aron Altalanos Iskola,Rural,5.695
2017-01-01,Marton Aron Altalanos Iskola,Rural,5.121
2017-01-01,Marton Ferenc Altalanos Iskola,Rural,5.773
2017-01-01,Marton Ferenc Altalanos Iskola,Rural,5.122
2017-01-01,Martonffi Janos Altalanos Iskola,Urban,6.448
2017-01-01,Martonffy Gyorgy Altalanos Iskola,Rural,5.553
2017-01-01,Mora Ferenc Altalanos Iskola,Urban,5.852
2017-01-01,Mora Ferenc Altalanos Iskola,Rural,3.773
2017-01-01,Nagy Imre Altalanos Iskola,Urban,6.525
2017-01-01,Nagy Istvan Altalanos Iskola,Rural,5.045
2017-01-01,Nagy Istvan Muveszeti Kozepiskola,Urban,7.405
2017-01-01,Nagygalambfalvi Altalanos Iskola,Rural,6.28
2017-01-01,Nyiro Jozsef Altalanos Iskola,Rural,5.156
2017-01-01,Nyiro Jozsef Altalanos Iskola,Rural,4.644
2017-01-01,Orban Balazs Altalanos Iskola,Urban,7.587
2017-01-01,Orban Balazs Elmeleti Liceum,Urban,5.406
2017-01-01,Orotvai Altalanos Iskola,Rural,4.187
2017-01-01,Palpataki Altalanos Iskola,Rural,5.99
2017-01-01,Petofi Sandor Altalanos Iskola,Urban,7.539
2017-01-01,Petofi Sandor Altalanos Iskola,Rural,5.673
2017-01-01,Petofi Sandor Altalanos Iskola,Urban,6.283
2017-01-01,Petofi Sandor Iskolakozpont,Rural,5.914
2017-01-01,Roman Viktor Altalanos Iskola,Rural,3.143
2017-01-01,Scoala Gimnaziala "Andrei Saguna" Toplita,Urban,4.33
2017-01-01,Scoala Gimnaziala "Geo Bogza" Balan,Urban,6.273
2017-01-01,Scoala Gimnaziala "Liviu Rebreanu" Miercurea Ciuc,Urban,7.732
2017-01-01,Scoala Gimnaziala "Miron Cristea" Toplita,Urban,5.799
2017-01-01,Scoala Gimnaziala "O.C.Taslauanu" Bilbor,Rural,6.719
2017-01-01,Scoala Gimnaziala "Sfantu Ilie" Toplita,Urban,6.581
2017-01-01,Scoala Gimnaziala Livezi,Rural,8.05
2017-01-01,Scoala Gimnaziala Sacel,Rural,2.45
2017-01-01,Scoala Gimnaziala Toplita-Calimanel,Urban,5.844
2017-01-01,Segito Maria Romai Katolikus Teologiai Liceum,Urban,7.199
2017-01-01,Siklodi Lorinc Altalanos Iskola,Rural,6.439
2017-01-01,Sover Elek Szakkozepiskola,Rural,5.657
2017-01-01,Sukosd Ferenc Altalanos Iskola,Rural,4.582
2017-01-01,Szekely Mozes Altalanos Iskola,Rural,6.105
2017-01-01,Szekely Mozes Altalanos Iskola,Rural,5.509
2017-01-01,Szent Andras Altalanos Iskola,Rural,4.998
2017-01-01,Szent Erzsebet Romai Katolikus Liceum,Rural,5.806
2017-01-01,Szent Istvan Altalanos Iskola,Rural,5.825
2017-01-01,Tamasi Aron Altalanos Iskola,Rural,6.457
2017-01-01,Tamasi Aron Altalanos Iskola,Urban,7.385
2017-01-01,Tarisznyas Marton Altalanos Iskola,Rural,5.847
2017-01-01,Teodor Chindea Altalanos Iskola,Rural,6.427
2017-01-01,Tivai Nagy Imre Szakkozepiskola,Rural,5.574
2017-01-01,Tompa Laszlo Altalanos Iskola,Urban,5.347
2017-01-01,Toro Tibor Altalanos Iskola,Rural,4.189
2017-01-01,Tuzson Janos Altalanos Iskola,Rural,6.315
2017-01-01,Vaskertes Altalanos Iskola,Urban,5.602
2017-01-01,Vitos Mozes Altalanos Iskola,Rural,4.544
2017-01-01,Xantus Janos Altalanos Iskola,Urban,3.051
2017-01-01,Zimmethausen Szakliceum,Urban,5.633
2017-01-01,Zold Peter Altalanos Iskola,Rural,6.024
