'2016-01-01',SCHOOLNAME,MEDIUM,ATLAG
2016-01-01,Aprily Lajos Altalanos Iskola,Rural,5.148
2016-01-01,Arany Janos Altalanos Iskola,Rural,5.498
2016-01-01,Arany Janos Altalanos Iskola ,Rural,6.734
2016-01-01,Augusztinovics Pal Altalanos Iskola,Rural,6.275
2016-01-01,Baczkamadarasi Kis Gergely Reformatus Kollegium,Urban,7.581
2016-01-01,Balas Jeno Altalanos Iskola,Rural,4.553
2016-01-01,Balint Vilmos Altalanos Iskola,Rural,7.201
2016-01-01,Bem Jozsef Altalanos Iskola,Rural,3.492
2016-01-01,Benedek Elek Altalanos Iskola,Rural,4.873
2016-01-01,Benedek Elek Pedagogiai Liceum,Urban,6.448
2016-01-01,Berde Mozes Unitarius Gimnazium,Urban,6.014
2016-01-01,Bethlen Gabor Altalanos Iskola,Rural,5.229
2016-01-01,Bethlen Gabor Altalanos Iskola,Urban,7.199
2016-01-01,Bogozi Altalanos Iskola,Rural,5.822
2016-01-01,Colegiul National "Octavian Goga" Miercurea Ciuc,Urban,8.406
2016-01-01,Cserei Mihaly Altalanos Iskola,Rural,4.579
2016-01-01,Csikmenasagi Altalanos Iskola,Rural,5.684
2016-01-01,Csikszentmiklosi Altalanos Iskola,Rural,6.546
2016-01-01,Csinodi Altalanos Iskola,Rural,2.21
2016-01-01,David Ferenc Altalanos Iskola,Rural,2.903
2016-01-01,Domokos Pal Peter Altalanos Iskola,Rural,4.823
2016-01-01,Dr. Lukacs Mihaly Altalanos Iskola,Rural,6.202
2016-01-01,Dr. P. Benedek Fidel Altalanos Iskola,Rural,6.072
2016-01-01,Dr. P. Boros Fortunat Elmeleti Kozepiskola,Rural,6.092
2016-01-01,Dr. Pallo Imre Muveszeti Liceum,Urban,6.523
2016-01-01,Dumitru Gafton Altalanos Iskola,Rural,5.682
2016-01-01,Elekes Vencel Altalanos Iskola,Rural,5.509
2016-01-01,Endes Jozsef Altalanos Iskola,Rural,5.889
2016-01-01,Fenyokuti Altalanos Iskola,Rural,5.955
2016-01-01,Fogarasy Mihaly Altalanos Iskola,Urban,6.189
2016-01-01,Frater Gyorgy Altalanos Iskola,Rural,4.82
2016-01-01,Fulop Aron Altalanos Iskola,Rural,5.397
2016-01-01,Gal Sandor Altalanos Iskola,Rural,6.79
2016-01-01,Galfi Sandor Altalanos Iskola,Rural,4.905
2016-01-01,Gyergyotolgyesi Altalanos Iskola,Rural,5.35
2016-01-01,Hidegsegi Altalanos Iskola,Rural,4.389
2016-01-01,Imets Fulop Jako Altalanos Iskola,Rural,6.517
2016-01-01,Janos Zsigmond Altalanos Iskola,Rural,5.01
2016-01-01,Jokai Mor Altalanos Iskola,Urban,5.582
2016-01-01,Jokai Mor Altalanos Iskola,Rural,4.778
2016-01-01,Josika Miklos Altalanos Iskola,Rural,5.912
2016-01-01,Jozsef Attila Altalanos Iskola,Urban,5.789
2016-01-01,Jozsef Attila Altalanos Iskola,Rural,5.586
2016-01-01,Kajoni Janos Altalanos Iskola,Rural,5.639
2016-01-01,Kelemen Imre Altalanos Iskola,Rural,5.351
2016-01-01,Kemeny Janos Elmeleti Liceum,Urban,5.428
2016-01-01,Kiss Ferenc Altalanos Iskola,Rural,6.963
2016-01-01,Kollo Miklos Altalanos Iskola,Rural,5.754
2016-01-01,Korispataki Altalanos Iskola,Rural,6.23
2016-01-01,Korondi Szakkozepiskola,Rural,5.62
2016-01-01,Korosi Csoma Sandor Altalanos Iskola,Rural,5.59
2016-01-01,Kos Karoly Altalanos Iskola Gyergyoszentmiklos,Urban,5.047
2016-01-01,Kriza Janos Altalanos Iskola,Rural,5.407
2016-01-01,Laszlo Gyula Altalanos Iskola,Rural,5.621
2016-01-01,Liceul "Marin Preda" Odorheiu Secuiesc,Urban,6.726
2016-01-01,Liceul "Miron Cristea" Subcetate,Rural,5.623
2016-01-01,Liceul Teoretic "O.C.Taslauanu" Toplita,Urban,7.759
2016-01-01,Liceul Teoretic "Sfantu Nicolae" Gheorgheni,Urban,6.527
2016-01-01,Majlath Gusztav Karoly Altalanos Iskola,Rural,4.665
2016-01-01,Makkai Andras Altalanos Iskola,Rural,4.015
2016-01-01,Marosi Gergely Altalanos Iskola,Rural,4.786
2016-01-01,Marton Aron Altalanos Iskola,Rural,5.671
2016-01-01,Marton Aron Altalanos Iskola,Rural,7.297
2016-01-01,Marton Aron Altalanos Iskola,Rural,4.334
2016-01-01,Marton Ferenc Altalanos Iskola,Rural,5.737
2016-01-01,Marton Ferenc Altalanos Iskola,Rural,5.811
2016-01-01,Martonffi Janos Altalanos Iskola,Urban,6.316
2016-01-01,Martonffy Gyorgy Altalanos Iskola,Rural,5.952
2016-01-01,Mora Ferenc Altalanos Iskola,Urban,5.787
2016-01-01,Mora Ferenc Altalanos Iskola,Rural,5.825
2016-01-01,Nagy Imre Altalanos Iskola,Urban,6.64
2016-01-01,Nagy Istvan Altalanos Iskola,Rural,5.539
2016-01-01,Nagy Istvan Muveszeti Kozepiskola,Urban,6.468
2016-01-01,Nagygalambfalvi Altalanos Iskola,Rural,6.031
2016-01-01,Nyiro Jozsef Altalanos Iskola,Rural,4.386
2016-01-01,Nyiro Jozsef Altalanos Iskola,Rural,4.389
2016-01-01,Orban Balazs Altalanos Iskola,Urban,7.612
2016-01-01,Orban Balazs Elmeleti Liceum,Urban,5.122
2016-01-01,Orotvai Altalanos Iskola,Rural,4.507
2016-01-01,Palpataki Altalanos Iskola,Rural,4.755
2016-01-01,Pecsi Simon Altalanos Iskola,Rural,4.63
2016-01-01,Petofi Sandor Altalanos Iskola,Urban,6.769
2016-01-01,Petofi Sandor Altalanos Iskola,Rural,6.501
2016-01-01,Petofi Sandor Altalanos Iskola,Urban,5.766
2016-01-01,Petofi Sandor Iskolakozpont,Rural,5.983
2016-01-01,Roman Viktor Altalanos Iskola,Rural,4.289
2016-01-01,Scoala Gimnaziala "Andrei Saguna" Toplita,Urban,4.753
2016-01-01,Scoala Gimnaziala "Geo Bogza" Balan,Urban,5.82
2016-01-01,Scoala Gimnaziala "Liviu Rebreanu" Miercurea Ciuc,Urban,7.554
2016-01-01,Scoala Gimnaziala "Miron Cristea" Toplita,Urban,6.006
2016-01-01,Scoala Gimnaziala "O.C.Taslauanu" Bilbor,Rural,5.975
2016-01-01,Scoala Gimnaziala "Sfantu Ilie" Toplita,Urban,5.884
2016-01-01,Scoala Gimnaziala Livezi,Rural,7.584
2016-01-01,Scoala Gimnaziala Toplita-Calimanel,Urban,5.461
2016-01-01,Segito Maria Romai Katolikus Teologiai Liceum,Urban,6.246
2016-01-01,Siklodi Lorinc Altalanos Iskola,Rural,6.595
2016-01-01,Sover Elek Szakkozepiskola,Rural,5.201
2016-01-01,Sukosd Ferenc Altalanos Iskola,Rural,5.828
2016-01-01,Szekely Mozes Altalanos Iskola,Rural,5.803
2016-01-01,Szekely Mozes Altalanos Iskola,Rural,5.192
2016-01-01,Szent Andras Altalanos Iskola,Rural,4.905
2016-01-01,Szent Erzsebet Romai Katolikus Liceum,Rural,4.873
2016-01-01,Szent Istvan Altalanos Iskola,Rural,5.763
2016-01-01,Tamasi Aron Altalanos Iskola,Rural,5.438
2016-01-01,Tamasi Aron Altalanos Iskola,Urban,5.796
2016-01-01,Tarisznyas Marton Altalanos Iskola,Rural,5.109
2016-01-01,Teodor Chindea Altalanos Iskola,Rural,5.599
2016-01-01,Tivai Nagy Imre Szakkozepiskola,Rural,5.465
2016-01-01,Tompa Laszlo Altalanos Iskola,Urban,5.92
2016-01-01,Toro Tibor Altalanos Iskola,Rural,4.232
2016-01-01,Vaskertes Altalanos Iskola,Urban,5.71
2016-01-01,Vitos Mozes Altalanos Iskola,Rural,4.363
2016-01-01,Xantus Janos Altalanos Iskola,Urban,2.605
2016-01-01,Zimmethausen Szakliceum,Urban,5.079
2016-01-01,Zold Peter Altalanos Iskola,Rural,5.657
