'2020-01-01',SCHOOLNAME,MEDIUM,ATLAG
2020-01-01,Scoala Gimnaziala Livezi,Rural,7.97
2020-01-01,Scoala Gimnaziala Liviu Rebreanu Miercurea Ciuc,Urban,7.457
2020-01-01,Scoala Gimnaziala Miron Cristea Toplita,Urban,6.654
2020-01-01,Scoala Gimnaziala O.C.Taslauanu Bilbor,Rural,6.337
2020-01-01,Scoala Gimnaziala Sacel,Rural,1.37
2020-01-01,Scoala Gimnaziala Sfantu Ilie Toplita,Urban,6.318
2020-01-01,Scoala Gimnaziala Toplita-Calimanel,Urban,5.812
2020-01-01,Segito Maria Romai Katolikus Teologiai Liceum,Urban,7.087
2020-01-01,Siklodi Lorinc Altalanos Iskola,Rural,6.247
2020-01-01,Sover Elek Szakkozepiskola,Rural,6.279
2020-01-01,Sukosd Ferenc Altalanos Iskola,Rural,5.699
2020-01-01,Szekely Mozes Altalanos Iskola,Rural,6.409
2020-01-01,Szekely Mozes Altalanos Iskola,Rural,5.026
2020-01-01,Szent Andras Altalanos Iskola,Rural,4.307
2020-01-01,Szent Erzsebet Romai Katolikus Liceum,Rural,5.172
2020-01-01,Szent Istvan Altalanos Iskola,Rural,5.327
2020-01-01,Tamasi Aron Altalanos Iskola,Rural,5.478
2020-01-01,Tamasi Aron Altalanos Iskola,Urban,5.847
2020-01-01,Tamasi Aron Gimnazium,Urban,8.272
2020-01-01,Tarisznyas Marton Altalanos Iskola,Rural,4.681
2020-01-01,Teodor Chindea Altalanos Iskola,Rural,5.589
2020-01-01,Tivai Nagy Imre Szakkozepiskola,Rural,5.537
2020-01-01,Tompa Laszlo Altalanos Iskola,Urban,4.886
2020-01-01,Toro Tibor Altalanos Iskola,Rural,5.074
2020-01-01,Tuzson Janos Altalanos Iskola,Rural,5.865
2020-01-01,Vaskertes Altalanos Iskola,Urban,5.728
2020-01-01,Vaskertes Altalanos Iskola,Urban,1.425
2020-01-01,Vitos Mozes Altalanos Iskola,Rural,4.093
2020-01-01,Xantus Janos Altalanos Iskola,Urban,3.683
2020-01-01,Zimmethausen Szakliceum,Urban,6.241
2020-01-01,Zold Peter Altalanos Iskola,Rural,5.782
