'2019-01-01',SCHOOLNAME,MEDIUM,ATLAG
2019-01-01,Aprily Lajos Altalanos Iskola,Rural,5.017
2019-01-01,Arany Janos Altalanos Iskola,Rural,5.535
2019-01-01,Arany Janos Altalanos Iskola ,Rural,6.402
2019-01-01,Augusztinovics Pal Altalanos Iskola,Rural,3.404
2019-01-01,Baczkamadarasi Kis Gergely Reformatus Kollegium,Urban,6.461
2019-01-01,Balanbanyai 1-Es Szamu Altalanos Iskola,Urban,5.815
2019-01-01,Balas Jeno Altalanos Iskola,Rural,5.334
2019-01-01,Balint Vilmos Altalanos Iskola,Rural,5.422
2019-01-01,Bem Jozsef Altalanos Iskola,Rural,2.99
2019-01-01,Benedek Elek Altalanos Iskola,Rural,4.499
2019-01-01,Benedek Elek Pedagogiai Liceum,Urban,7.375
2019-01-01,Berde Mozes Unitarius Gimnazium,Urban,5.556
2019-01-01,Bethlen Gabor Altalanos Iskola,Rural,5.245
2019-01-01,Bethlen Gabor Altalanos Iskola,Urban,6.284
2019-01-01,Bogozi Altalanos Iskola,Rural,6.099
2019-01-01,Colegiul National "Octavian Goga" Miercurea Ciuc,Urban,7.175
2019-01-01,Cserei Mihaly Altalanos Iskola,Rural,5.225
2019-01-01,Csikmenasagi Altalanos Iskola,Rural,5.736
2019-01-01,Csikszentmiklosi Altalanos Iskola,Rural,5.516
2019-01-01,Domokos Pal Peter Altalanos Iskola,Rural,4.97
2019-01-01,Dr. Lukacs Mihaly Altalanos Iskola,Rural,5.665
2019-01-01,Dr. P. Benedek Fidel Altalanos Iskola,Rural,6.217
2019-01-01,Dr. P. Boros Fortunat Elmeleti Kozepiskola,Rural,5.765
2019-01-01,Dr. Pallo Imre Muveszeti Liceum,Urban,6.057
2019-01-01,Dumitru Gafton Altalanos Iskola,Rural,4.6
2019-01-01,Elekes Vencel Altalanos Iskola,Rural,5.407
2019-01-01,Endes Jozsef Altalanos Iskola,Rural,5.2
2019-01-01,Fenyokuti Altalanos Iskola,Rural,5.357
2019-01-01,Fogarasy Mihaly Altalanos Iskola,Urban,6.726
2019-01-01,Frater Gyorgy Altalanos Iskola,Rural,5.471
2019-01-01,Fulop Aron Altalanos Iskola,Rural,5.502
2019-01-01,Gal Sandor Altalanos Iskola,Rural,6.476
2019-01-01,Galfi Sandor Altalanos Iskola,Rural,4.651
2019-01-01,Gyergyotolgyesi Altalanos Iskola,Rural,6.375
2019-01-01,Hidegsegi Altalanos Iskola,Rural,4.61
2019-01-01,Imets Fulop Jako Altalanos Iskola,Rural,7.296
2019-01-01,Janos Zsigmond Altalanos Iskola,Rural,3.78
2019-01-01,Jokai Mor Altalanos Iskola,Urban,3.893
2019-01-01,Jokai Mor Altalanos Iskola,Rural,5.043
2019-01-01,Josika Miklos Altalanos Iskola,Rural,3.977
