'2019-01-01',SCHOOLNAME,MEDIUM,ATLAG
2019-01-01,Jozsef Attila Altalanos Iskola,Urban,6.826
2019-01-01,Jozsef Attila Altalanos Iskola,Rural,5.55
2019-01-01,Kajoni Janos Altalanos Iskola,Rural,5.399
2019-01-01,Kelemen Imre Altalanos Iskola,Rural,5.528
2019-01-01,Kemeny Janos Elmeleti Liceum,Urban,6.731
2019-01-01,Kiss Ferenc Altalanos Iskola,Rural,5.996
2019-01-01,Kollo Miklos Altalanos Iskola,Rural,5.869
2019-01-01,Korispataki Altalanos Iskola,Rural,3.596
2019-01-01,Korondi Szakkozepiskola,Rural,6.082
2019-01-01,Korosi Csoma Sandor Altalanos Iskola,Rural,5.692
2019-01-01,Kos Karoly Altalanos Iskola Gyergyoszentmiklos,Urban,4.159
2019-01-01,Kriza Janos Altalanos Iskola,Rural,5.806
2019-01-01,Laszlo Gyula Altalanos Iskola,Rural,5.041
2019-01-01,Liceul "Marin Preda" Odorheiu Secuiesc,Urban,6.675
2019-01-01,Liceul "Miron Cristea" Subcetate,Rural,4.995
2019-01-01,Liceul Teoretic "O.C.Taslauanu" Toplita,Urban,7.991
2019-01-01,Liceul Teoretic "Sfantu Nicolae" Gheorgheni,Urban,6.739
2019-01-01,Majlath Gusztav Karoly Altalanos Iskola,Rural,6.433
2019-01-01,Makkai Andras Altalanos Iskola,Rural,3.282
2019-01-01,Marosi Gergely Altalanos Iskola,Rural,4.352
2019-01-01,Marton Aron Altalanos Iskola,Rural,5.77
2019-01-01,Marton Aron Altalanos Iskola,Rural,6.508
2019-01-01,Marton Ferenc Altalanos Iskola,Rural,5.605
2019-01-01,Marton Ferenc Altalanos Iskola,Rural,5.705
2019-01-01,Martonffi Janos Altalanos Iskola,Urban,6.286
2019-01-01,Martonffy Gyorgy Altalanos Iskola,Rural,5.68
2019-01-01,Mora Ferenc Altalanos Iskola,Urban,6.28
2019-01-01,Nagy Imre Altalanos Iskola,Urban,6.891
2019-01-01,Nagy Istvan Altalanos Iskola,Rural,6.315
2019-01-01,Nagy Istvan Muveszeti Kozepiskola,Urban,6.815
2019-01-01,Nagygalambfalvi Altalanos Iskola,Rural,6.545
2019-01-01,Nyiro Jozsef Altalanos Iskola,Rural,4.567
2019-01-01,Nyiro Jozsef Altalanos Iskola,Rural,4.589
2019-01-01,Orban Balazs Altalanos Iskola,Urban,6.851
2019-01-01,Orban Balazs Elmeleti Liceum,Urban,5.927
2019-01-01,Orotvai Altalanos Iskola,Rural,3.783
2019-01-01,Palpataki Altalanos Iskola,Rural,3.418
2019-01-01,Petofi Sandor Altalanos Iskola,Urban,6.671
2019-01-01,Petofi Sandor Altalanos Iskola,Rural,5.529
2019-01-01,Petofi Sandor Altalanos Iskola,Urban,5.374
2019-01-01,Petofi Sandor Iskolakozpont,Rural,5.194
2019-01-01,Roman Viktor Altalanos Iskola,Rural,4.168
2019-01-01,Scoala Gimnaziala "Andrei Saguna" Toplita,Urban,3.535
2019-01-01,Scoala Gimnaziala "Geo Bogza" Balan,Urban,6.737
2019-01-01,Scoala Gimnaziala "Liviu Rebreanu" Miercurea Ciuc,Urban,7.69
2019-01-01,Scoala Gimnaziala "Miron Cristea" Toplita,Urban,5.215
2019-01-01,Scoala Gimnaziala "O.C.Taslauanu" Bilbor,Rural,5.94
2019-01-01,Scoala Gimnaziala "Sfantu Ilie" Toplita,Urban,5.879
2019-01-01,Scoala Gimnaziala Livezi,Rural,6.82
2019-01-01,Scoala Gimnaziala Sacel,Rural,2.54
2019-01-01,Scoala Gimnaziala Toplita-Calimanel,Urban,5.099
2019-01-01,Segito Maria Romai Katolikus Teologiai Liceum,Urban,6.642
2019-01-01,Siklodi Lorinc Altalanos Iskola,Rural,5.916
2019-01-01,Sover Elek Szakkozepiskola,Rural,5.453
2019-01-01,Sukosd Ferenc Altalanos Iskola,Rural,4.569
2019-01-01,Szekely Mozes Altalanos Iskola,Rural,5.404
2019-01-01,Szekely Mozes Altalanos Iskola,Rural,5.716
2019-01-01,Szent Andras Altalanos Iskola,Rural,4.898
2019-01-01,Szent Erzsebet Romai Katolikus Liceum,Rural,4.655
2019-01-01,Szent Istvan Altalanos Iskola,Rural,5.459
2019-01-01,Tamasi Aron Altalanos Iskola,Rural,5.743
2019-01-01,Tamasi Aron Altalanos Iskola,Urban,6.28
2019-01-01,Tamasi Aron Gimnazium,Urban,7.929
2019-01-01,Tarisznyas Marton Altalanos Iskola,Rural,5.376
2019-01-01,Teodor Chindea Altalanos Iskola,Rural,4.471
2019-01-01,Tivai Nagy Imre Szakkozepiskola,Rural,4.896
2019-01-01,Tompa Laszlo Altalanos Iskola,Urban,4.217
2019-01-01,Toro Tibor Altalanos Iskola,Rural,4.477
2019-01-01,Tuzson Janos Altalanos Iskola,Rural,4.839
2019-01-01,Vaskertes Altalanos Iskola,Urban,6.279
2019-01-01,Vitos Mozes Altalanos Iskola,Rural,5.389
2019-01-01,Xantus Janos Altalanos Iskola,Urban,3.148
2019-01-01,Zimmethausen Szakliceum,Urban,5.301
2019-01-01,Zold Peter Altalanos Iskola,Rural,6.087
